,Value,Date,State
658,30.9,2021/08/02,FL
659,36.3,2021/08/02,GA
660,28.0,2021/08/02,HI
661,26.9,2021/08/02,IA
662,26.9,2021/08/02,ID
663,29.6,2021/08/02,IL
664,31.8,2021/08/02,IN
665,28.3,2021/08/02,KS
666,33.7,2021/08/02,KY
667,40.9,2021/08/02,LA
668,27.9,2021/08/02,MA
669,27.4,2021/08/02,MD
670,34.5,2021/08/02,ME
671,28.8,2021/08/02,MI
672,27.0,2021/08/02,MN
673,31.1,2021/08/02,MO
674,34.8,2021/08/02,MS
675,24.2,2021/08/02,MT
676,26.3,2021/08/02,NC
677,23.5,2021/08/02,ND
678,25.1,2021/08/02,NE
679,25.9,2021/08/02,NH
680,25.8,2021/08/02,NJ
681,33.6,2021/08/02,NM
682,37.0,2021/08/02,NV
683,24.9,2021/08/02,NY
684,32.3,2021/08/02,OH
685,38.9,2021/08/02,OK
686,31.5,2021/08/02,OR
687,30.5,2021/08/02,PA
688,30.8,2021/08/02,RI
689,30.9,2021/08/02,SC
690,23.6,2021/08/02,SD
691,27.6,2021/08/02,TN
692,38.1,2021/08/02,TX
693,32.2,2021/08/02,UT
694,30.3,2021/08/02,VA
695,25.8,2021/08/02,VT
696,34.7,2021/08/02,WA
697,27.0,2021/08/02,WI
698,35.4,2021/08/02,WV
699,32.3,2021/08/02,WY
700,28.1,2021/08/16,AK
701,29.9,2021/08/16,AL
702,35.1,2021/08/16,AR
703,34.7,2021/08/16,AZ
704,32.4,2021/08/16,CA
705,30.2,2021/08/16,CO
706,24.9,2021/08/16,CT
707,32.1,2021/08/16,DE
708,32.3,2021/08/16,FL
709,34.8,2021/08/16,GA
710,30.5,2021/08/16,HI
711,27.1,2021/08/16,IA
712,31.9,2021/08/16,ID
713,28.1,2021/08/16,IL
714,28.0,2021/08/16,IN
715,28.2,2021/08/16,KS
716,34.6,2021/08/16,KY
717,38.4,2021/08/16,LA
718,29.9,2021/08/16,MA
719,28.0,2021/08/16,MD
720,26.3,2021/08/16,ME
721,30.9,2021/08/16,MI
722,26.4,2021/08/16,MN
723,32.0,2021/08/16,MO
724,32.5,2021/08/16,MS
725,32.1,2021/08/16,MT
726,29.3,2021/08/16,NC
727,22.9,2021/08/16,ND
728,28.4,2021/08/16,NE
729,30.0,2021/08/16,NH
730,25.6,2021/08/16,NJ
731,33.6,2021/08/16,NM
732,33.1,2021/08/16,NV
733,29.6,2021/08/16,NY
734,27.8,2021/08/16,OH
735,39.7,2021/08/16,OK
736,30.5,2021/08/16,OR
737,30.8,2021/08/16,PA
738,31.4,2021/08/16,RI
739,28.9,2021/08/16,SC
740,21.2,2021/08/16,SD
741,33.2,2021/08/16,TN
742,31.9,2021/08/16,TX
743,33.0,2021/08/16,UT
744,30.3,2021/08/16,VA
745,27.8,2021/08/16,VT
746,31.1,2021/08/16,WA
747,27.9,2021/08/16,WI
748,34.0,2021/08/16,WV
749,25.4,2021/08/16,WY
750,33.5,2021/08/30,AK
751,38.5,2021/08/30,AL
752,36.2,2021/08/30,AR
753,35.8,2021/08/30,AZ
754,31.5,2021/08/30,CA
755,29.7,2021/08/30,CO
756,27.9,2021/08/30,CT
757,32.4,2021/08/30,DE
758,31.4,2021/08/30,FL
759,34.5,2021/08/30,GA
760,31.8,2021/08/30,HI
761,28.5,2021/08/30,IA
762,27.9,2021/08/30,ID
763,28.6,2021/08/30,IL
764,31.3,2021/08/30,IN
765,29.4,2021/08/30,KS
766,33.8,2021/08/30,KY
767,39.3,2021/08/30,LA
768,32.0,2021/08/30,MA
769,31.4,2021/08/30,MD
770,31.0,2021/08/30,ME
771,30.3,2021/08/30,MI
772,30.4,2021/08/30,MN
773,30.6,2021/08/30,MO
774,33.3,2021/08/30,MS
775,26.3,2021/08/30,MT
776,34.0,2021/08/30,NC
777,29.8,2021/08/30,ND
778,27.9,2021/08/30,NE
779,23.9,2021/08/30,NH
780,30.6,2021/08/30,NJ
781,30.3,2021/08/30,NM
782,36.4,2021/08/30,NV
783,28.6,2021/08/30,NY
784,34.5,2021/08/30,OH
785,38.1,2021/08/30,OK
786,35.3,2021/08/30,OR
787,35.5,2021/08/30,PA
788,29.3,2021/08/30,RI
789,32.7,2021/08/30,SC
790,31.1,2021/08/30,SD
791,41.7,2021/08/30,TN
792,32.6,2021/08/30,TX
793,33.7,2021/08/30,UT
794,28.0,2021/08/30,VA
795,29.3,2021/08/30,VT
796,33.7,2021/08/30,WA
797,25.1,2021/08/30,WI
798,34.2,2021/08/30,WV
799,31.7,2021/08/30,WY
800,34.3,2021/09/13,AK
801,34.2,2021/09/13,AL
802,34.5,2021/09/13,AR
803,30.9,2021/09/13,AZ
804,32.5,2021/09/13,CA
805,29.1,2021/09/13,CO
806,29.2,2021/09/13,CT
807,30.4,2021/09/13,DE
808,35.5,2021/09/13,FL
809,31.0,2021/09/13,GA
810,30.0,2021/09/13,HI
811,28.9,2021/09/13,IA
812,30.1,2021/09/13,ID
813,31.4,2021/09/13,IL
814,30.5,2021/09/13,IN
815,33.7,2021/09/13,KS
816,33.0,2021/09/13,KY
817,44.4,2021/09/13,LA
818,30.3,2021/09/13,MA
819,32.8,2021/09/13,MD
820,25.9,2021/09/13,ME
821,29.3,2021/09/13,MI
822,25.5,2021/09/13,MN
823,33.7,2021/09/13,MO
824,29.2,2021/09/13,MS
825,25.5,2021/09/13,MT
826,32.2,2021/09/13,NC
827,30.7,2021/09/13,ND
828,28.1,2021/09/13,NE
829,28.7,2021/09/13,NH
830,28.1,2021/09/13,NJ
831,31.7,2021/09/13,NM
832,33.2,2021/09/13,NV
833,32.0,2021/09/13,NY
834,31.6,2021/09/13,OH
835,34.7,2021/09/13,OK
836,37.1,2021/09/13,OR
837,27.2,2021/09/13,PA
838,32.1,2021/09/13,RI
839,29.2,2021/09/13,SC
840,19.9,2021/09/13,SD
841,36.8,2021/09/13,TN
842,36.3,2021/09/13,TX
843,29.9,2021/09/13,UT
844,30.7,2021/09/13,VA
845,37.5,2021/09/13,VT
846,34.1,2021/09/13,WA
847,26.5,2021/09/13,WI
848,32.6,2021/09/13,WV
849,31.1,2021/09/13,WY
850,36.5,2021/09/27,AK
851,32.4,2021/09/27,AL
852,38.3,2021/09/27,AR
853,30.9,2021/09/27,AZ
854,33.9,2021/09/27,CA
855,30.9,2021/09/27,CO
856,28.1,2021/09/27,CT
857,33.9,2021/09/27,DE
858,31.5,2021/09/27,FL
859,31.3,2021/09/27,GA
860,34.5,2021/09/27,HI
861,30.4,2021/09/27,IA
862,29.7,2021/09/27,ID
863,29.7,2021/09/27,IL
864,31.4,2021/09/27,IN
865,35.7,2021/09/27,KS
866,29.1,2021/09/27,KY
867,41.7,2021/09/27,LA
868,27.9,2021/09/27,MA
869,30.4,2021/09/27,MD
870,31.2,2021/09/27,ME
871,26.4,2021/09/27,MI
872,26.5,2021/09/27,MN
873,39.4,2021/09/27,MO
874,39.2,2021/09/27,MS
875,34.0,2021/09/27,MT
876,28.6,2021/09/27,NC
877,27.4,2021/09/27,ND
878,26.3,2021/09/27,NE
879,26.8,2021/09/27,NH
880,29.7,2021/09/27,NJ
881,34.2,2021/09/27,NM
882,37.0,2021/09/27,NV
883,37.4,2021/09/27,NY
884,28.2,2021/09/27,OH
885,41.6,2021/09/27,OK
886,36.6,2021/09/27,OR
887,31.5,2021/09/27,PA
888,27.0,2021/09/27,RI
889,27.1,2021/09/27,SC
890,23.7,2021/09/27,SD
891,36.5,2021/09/27,TN
892,32.5,2021/09/27,TX
893,35.6,2021/09/27,UT
894,31.8,2021/09/27,VA
895,24.3,2021/09/27,VT
896,36.2,2021/09/27,WA
897,28.3,2021/09/27,WI
898,30.7,2021/09/27,WV
899,27.2,2021/09/27,WY
900,38.5,2021/10/11,AK
901,34.1,2021/10/11,AL
902,37.8,2021/10/11,AR
903,33.0,2021/10/11,AZ
904,32.0,2021/10/11,CA
905,32.0,2021/10/11,CO
906,28.7,2021/10/11,CT
907,26.6,2021/10/11,DE
908,31.6,2021/10/11,FL
909,34.3,2021/10/11,GA
910,32.5,2021/10/11,HI
911,27.2,2021/10/11,IA
912,33.0,2021/10/11,ID
913,31.3,2021/10/11,IL
914,28.6,2021/10/11,IN
915,29.2,2021/10/11,KS
916,36.2,2021/10/11,KY
917,32.5,2021/10/11,LA
918,31.4,2021/10/11,MA
919,28.4,2021/10/11,MD
920,28.6,2021/10/11,ME
921,29.8,2021/10/11,MI
922,24.6,2021/10/11,MN
923,33.6,2021/10/11,MO
924,35.9,2021/10/11,MS
925,28.2,2021/10/11,MT
926,35.0,2021/10/11,NC
927,33.3,2021/10/11,ND
928,33.5,2021/10/11,NE
929,23.5,2021/10/11,NH
930,28.6,2021/10/11,NJ
931,31.9,2021/10/11,NM
932,30.0,2021/10/11,NV
933,29.6,2021/10/11,NY
934,26.4,2021/10/11,OH
935,37.7,2021/10/11,OK
936,34.6,2021/10/11,OR
937,33.8,2021/10/11,PA
938,37.3,2021/10/11,RI
939,30.2,2021/10/11,SC
940,24.7,2021/10/11,SD
941,34.6,2021/10/11,TN
942,34.2,2021/10/11,TX
943,31.1,2021/10/11,UT
944,27.9,2021/10/11,VA
945,33.6,2021/10/11,VT
946,33.5,2021/10/11,WA
947,22.9,2021/10/11,WI
948,31.7,2021/10/11,WV
949,29.5,2021/10/11,WY
950,37.8,2021/12/13,AK
951,32.1,2021/12/13,AL
952,34.4,2021/12/13,AR
953,31.2,2021/12/13,AZ
954,30.4,2021/12/13,CA
955,33.2,2021/12/13,CO
956,29.3,2021/12/13,CT
957,26.3,2021/12/13,DE
958,28.8,2021/12/13,FL
959,29.9,2021/12/13,GA
960,31.9,2021/12/13,HI
961,29.8,2021/12/13,IA
962,32.2,2021/12/13,ID
963,27.6,2021/12/13,IL
964,30.2,2021/12/13,IN
965,31.1,2021/12/13,KS
966,36.7,2021/12/13,KY
967,38.7,2021/12/13,LA
968,30.2,2021/12/13,MA
969,28.2,2021/12/13,MD
970,30.9,2021/12/13,ME
971,31.4,2021/12/13,MI
972,27.9,2021/12/13,MN
973,32.8,2021/12/13,MO
974,31.7,2021/12/13,MS
975,30.1,2021/12/13,MT
976,30.0,2021/12/13,NC
977,33.4,2021/12/13,ND
978,30.5,2021/12/13,NE
979,30.7,2021/12/13,NH
980,27.8,2021/12/13,NJ
981,34.6,2021/12/13,NM
982,36.3,2021/12/13,NV
983,33.3,2021/12/13,NY
984,30.1,2021/12/13,OH
985,38.3,2021/12/13,OK
986,35.6,2021/12/13,OR
987,28.9,2021/12/13,PA
988,27.8,2021/12/13,RI
989,25.1,2021/12/13,SC
990,24.0,2021/12/13,SD
991,31.4,2021/12/13,TN
992,29.5,2021/12/13,TX
993,32.5,2021/12/13,UT
994,31.5,2021/12/13,VA
995,32.2,2021/12/13,VT
996,33.6,2021/12/13,WA
997,26.3,2021/12/13,WI
998,39.9,2021/12/13,WV
999,32.3,2021/12/13,WY
1000,31.9,2022/01/10,AK
1001,33.9,2022/01/10,AL
1002,40.6,2022/01/10,AR
1003,34.1,2022/01/10,AZ
1004,31.9,2022/01/10,CA
1005,30.2,2022/01/10,CO
1006,31.6,2022/01/10,CT
1007,30.1,2022/01/10,DE
1008,33.6,2022/01/10,FL
1009,29.4,2022/01/10,GA
1010,32.1,2022/01/10,HI
1011,28.0,2022/01/10,IA
1012,28.8,2022/01/10,ID
1013,29.7,2022/01/10,IL
1014,32.2,2022/01/10,IN
1015,28.8,2022/01/10,KS
1016,34.2,2022/01/10,KY
1017,30.7,2022/01/10,LA
1018,30.4,2022/01/10,MA
1019,27.8,2022/01/10,MD
1020,32.4,2022/01/10,ME
1021,31.2,2022/01/10,MI
1022,26.3,2022/01/10,MN
1023,32.7,2022/01/10,MO
1024,36.3,2022/01/10,MS
1025,34.6,2022/01/10,MT
1026,29.3,2022/01/10,NC
1027,24.8,2022/01/10,ND
1028,35.4,2022/01/10,NE
1029,31.7,2022/01/10,NH
1030,33.8,2022/01/10,NJ
1031,36.8,2022/01/10,NM
1032,35.4,2022/01/10,NV
1033,31.4,2022/01/10,NY
1034,32.3,2022/01/10,OH
1035,35.8,2022/01/10,OK
1036,36.8,2022/01/10,OR
1037,29.1,2022/01/10,PA
1038,35.6,2022/01/10,RI
1039,29.7,2022/01/10,SC
1040,28.7,2022/01/10,SD
1041,31.3,2022/01/10,TN
1042,35.1,2022/01/10,TX
1043,34.3,2022/01/10,UT
1044,35.4,2022/01/10,VA
1045,34.5,2022/01/10,VT
1046,32.7,2022/01/10,WA
1047,25.5,2022/01/10,WI
1048,34.6,2022/01/10,WV
1049,33.9,2022/01/10,WY
1050,33.4,2022/02/07,AK
1051,33.8,2022/02/07,AL
1052,38.2,2022/02/07,AR
1053,31.5,2022/02/07,AZ
1054,32.9,2022/02/07,CA
1055,28.5,2022/02/07,CO
1056,32.3,2022/02/07,CT
1057,33.4,2022/02/07,DE
1058,32.6,2022/02/07,FL
1059,31.9,2022/02/07,GA
1060,33.1,2022/02/07,HI
1061,24.5,2022/02/07,IA
1062,26.2,2022/02/07,ID
1063,32.6,2022/02/07,IL
1064,29.2,2022/02/07,IN
1065,29.8,2022/02/07,KS
1066,33.7,2022/02/07,KY
1067,35.2,2022/02/07,LA
1068,30.6,2022/02/07,MA
1069,31.1,2022/02/07,MD
1070,31.3,2022/02/07,ME
1071,32.0,2022/02/07,MI
1072,24.7,2022/02/07,MN
1073,31.4,2022/02/07,MO
1074,37.2,2022/02/07,MS
1075,33.3,2022/02/07,MT
1076,28.0,2022/02/07,NC
1077,30.0,2022/02/07,ND
1078,28.3,2022/02/07,NE
1079,23.9,2022/02/07,NH
1080,34.9,2022/02/07,NJ
1081,34.8,2022/02/07,NM
1082,37.0,2022/02/07,NV
1083,29.6,2022/02/07,NY
1084,26.7,2022/02/07,OH
1085,33.9,2022/02/07,OK
1086,37.2,2022/02/07,OR
1087,31.7,2022/02/07,PA
1088,27.6,2022/02/07,RI
1089,29.7,2022/02/07,SC
1090,27.2,2022/02/07,SD
1091,33.9,2022/02/07,TN
1092,32.9,2022/02/07,TX
1093,28.3,2022/02/07,UT
1094,29.8,2022/02/07,VA
1095,31.6,2022/02/07,VT
1096,32.3,2022/02/07,WA
1097,28.2,2022/02/07,WI
1098,36.1,2022/02/07,WV
1099,33.0,2022/02/07,WY
1100,32.7,2022/03/14,AK
1101,33.5,2022/03/14,AL
1102,38.8,2022/03/14,AR
1103,34.4,2022/03/14,AZ
1104,32.8,2022/03/14,CA
1105,29.0,2022/03/14,CO
1106,28.9,2022/03/14,CT
1107,24.3,2022/03/14,DE
1108,28.7,2022/03/14,FL
1109,29.6,2022/03/14,GA
1110,26.9,2022/03/14,HI
1111,28.7,2022/03/14,IA
1112,30.1,2022/03/14,ID
1113,32.3,2022/03/14,IL
1114,29.9,2022/03/14,IN
1115,31.3,2022/03/14,KS
1116,34.8,2022/03/14,KY
1117,37.9,2022/03/14,LA
1118,32.2,2022/03/14,MA
1119,28.9,2022/03/14,MD
1120,28.7,2022/03/14,ME
1121,28.0,2022/03/14,MI
1122,28.7,2022/03/14,MN
1123,33.5,2022/03/14,MO
1124,37.8,2022/03/14,MS
1125,25.9,2022/03/14,MT
1126,29.7,2022/03/14,NC
1127,26.2,2022/03/14,ND
1128,28.9,2022/03/14,NE
1129,29.6,2022/03/14,NH
1130,27.7,2022/03/14,NJ
1131,34.0,2022/03/14,NM
1132,32.7,2022/03/14,NV
1133,29.1,2022/03/14,NY
1134,34.1,2022/03/14,OH
1135,38.0,2022/03/14,OK
1136,34.7,2022/03/14,OR
1137,33.7,2022/03/14,PA
1138,26.5,2022/03/14,RI
1139,27.3,2022/03/14,SC
1140,27.8,2022/03/14,SD
1141,29.7,2022/03/14,TN
1142,34.5,2022/03/14,TX
1143,31.6,2022/03/14,UT
1144,29.8,2022/03/14,VA
1145,29.9,2022/03/14,VT
1146,33.9,2022/03/14,WA
1147,27.4,2022/03/14,WI
1148,34.0,2022/03/14,WV
1149,32.4,2022/03/14,WY
1150,27.0,2022/04/11,AK
1151,28.6,2022/04/11,AL
1152,32.8,2022/04/11,AR
1153,28.5,2022/04/11,AZ
1154,30.1,2022/04/11,CA
1155,31.5,2022/04/11,CO
1156,25.0,2022/04/11,CT
1157,27.1,2022/04/11,DE
1158,34.0,2022/04/11,FL
1159,31.6,2022/04/11,GA
1160,26.6,2022/04/11,HI
1161,28.1,2022/04/11,IA
1162,29.6,2022/04/11,ID
1163,31.4,2022/04/11,IL
1164,28.2,2022/04/11,IN
1165,32.7,2022/04/11,KS
1166,37.5,2022/04/11,KY
1167,36.7,2022/04/11,LA
1168,29.4,2022/04/11,MA
1169,29.7,2022/04/11,MD
1170,33.3,2022/04/11,ME
1171,25.7,2022/04/11,MI
1172,26.0,2022/04/11,MN
1173,32.2,2022/04/11,MO
1174,32.8,2022/04/11,MS
1175,29.8,2022/04/11,MT
1176,31.5,2022/04/11,NC
1177,32.6,2022/04/11,ND
1178,28.6,2022/04/11,NE
1179,30.8,2022/04/11,NH
1180,32.0,2022/04/11,NJ
1181,39.3,2022/04/11,NM
1182,31.2,2022/04/11,NV
1183,30.9,2022/04/11,NY
1184,28.9,2022/04/11,OH
1185,38.0,2022/04/11,OK
1186,35.7,2022/04/11,OR
1187,29.5,2022/04/11,PA
1188,25.7,2022/04/11,RI
1189,25.3,2022/04/11,SC
1190,28.6,2022/04/11,SD
1191,29.8,2022/04/11,TN
1192,34.3,2022/04/11,TX
1193,31.1,2022/04/11,UT
1194,29.7,2022/04/11,VA
1195,28.1,2022/04/11,VT
1196,28.4,2022/04/11,WA
1197,29.1,2022/04/11,WI
1198,44.0,2022/04/11,WV
1199,31.3,2022/04/11,WY
1200,30.9,2022/05/09,AK
1201,31.0,2022/05/09,AL
1202,28.3,2022/05/09,AR
1203,29.4,2022/05/09,AZ
1204,33.1,2022/05/09,CA
1205,24.0,2022/05/09,CO
1206,30.0,2022/05/09,CT
1207,24.2,2022/05/09,DE
1208,28.3,2022/05/09,FL
1209,29.4,2022/05/09,GA
1210,24.5,2022/05/09,HI
1211,28.0,2022/05/09,IA
1212,29.2,2022/05/09,ID
1213,29.7,2022/05/09,IL
1214,28.7,2022/05/09,IN
1215,27.8,2022/05/09,KS
1216,35.8,2022/05/09,KY
1217,30.6,2022/05/09,LA
1218,30.6,2022/05/09,MA
1219,28.0,2022/05/09,MD
1220,30.5,2022/05/09,ME
1221,31.9,2022/05/09,MI
1222,27.3,2022/05/09,MN
1223,31.7,2022/05/09,MO
1224,38.0,2022/05/09,MS
1225,32.3,2022/05/09,MT
1226,28.1,2022/05/09,NC
1227,29.8,2022/05/09,ND
1228,28.9,2022/05/09,NE
1229,31.9,2022/05/09,NH
1230,29.8,2022/05/09,NJ
1231,32.4,2022/05/09,NM
1232,30.1,2022/05/09,NV
1233,32.0,2022/05/09,NY
1234,28.2,2022/05/09,OH
1235,38.0,2022/05/09,OK
1236,32.6,2022/05/09,OR
1237,31.5,2022/05/09,PA
1238,25.0,2022/05/09,RI
1239,30.8,2022/05/09,SC
1240,19.2,2022/05/09,SD
1241,32.1,2022/05/09,TN
1242,34.1,2022/05/09,TX
1243,36.9,2022/05/09,UT
1244,30.2,2022/05/09,VA
1245,25.6,2022/05/09,VT
1246,34.3,2022/05/09,WA
1247,26.7,2022/05/09,WI
1248,31.0,2022/05/09,WV
1249,26.7,2022/05/09,WY
1250,32.8,2022/06/13,AK
1251,37.7,2022/06/13,AL
1252,37.5,2022/06/13,AR
1253,34.8,2022/06/13,AZ
1254,34.8,2022/06/13,CA
1255,33.7,2022/06/13,CO
1256,31.4,2022/06/13,CT
1257,26.2,2022/06/13,DE
1258,30.4,2022/06/13,FL
1259,30.4,2022/06/13,GA
1260,24.5,2022/06/13,HI
1261,34.7,2022/06/13,IA
1262,30.3,2022/06/13,ID
1263,30.7,2022/06/13,IL
1264,34.0,2022/06/13,IN
1265,28.1,2022/06/13,KS
1266,42.0,2022/06/13,KY
1267,40.2,2022/06/13,LA
1268,30.8,2022/06/13,MA
1269,32.9,2022/06/13,MD
1270,31.3,2022/06/13,ME
1271,28.0,2022/06/13,MI
1272,28.1,2022/06/13,MN
1273,31.1,2022/06/13,MO
1274,46.1,2022/06/13,MS
1275,27.1,2022/06/13,MT
1276,35.6,2022/06/13,NC
1277,28.2,2022/06/13,ND
1278,31.3,2022/06/13,NE
1279,31.2,2022/06/13,NH
1280,29.6,2022/06/13,NJ
1281,33.2,2022/06/13,NM
1282,39.9,2022/06/13,NV
1283,29.8,2022/06/13,NY
1284,33.9,2022/06/13,OH
1285,35.8,2022/06/13,OK
1286,33.5,2022/06/13,OR
1287,30.1,2022/06/13,PA
1288,32.0,2022/06/13,RI
1289,37.8,2022/06/13,SC
1290,26.9,2022/06/13,SD
1291,36.2,2022/06/13,TN
1292,34.1,2022/06/13,TX
1293,34.7,2022/06/13,UT
1294,29.6,2022/06/13,VA
1295,29.2,2022/06/13,VT
1296,30.7,2022/06/13,WA
1297,30.8,2022/06/13,WI
1298,40.2,2022/06/13,WV
1299,33.7,2022/06/13,WY
